sim_id,on_road_saving_s,zs_pre_route_saving_s,zs_total_saving_s,zs_saving_min,hc_pre_route_saving_s,hc_total_saving_s,hc_saving_min
1,1801.1,5861.9,7663.1,127.72,3287.1,4367.8,72.8
2,1521.2,5603.8,7125.0,118.75,3189.7,4102.4,68.37
3,802.0,5455.7,6257.8,104.3,2986.9,3468.1,57.8
4,767.5,6140.5,6908.0,115.13,4421.3,4881.8,81.36
5,2134.7,7645.0,9779.7,163.0,5142.1,6422.9,107.05
6,581.1,6043.0,6624.1,110.4,4078.0,4426.7,73.78
7,1424.8,6210.5,7635.3,127.25,4151.1,5005.9,83.43
8,1023.6,4960.8,5984.3,99.74,2796.8,3410.9,56.85
9,1272.5,6972.8,8245.3,137.42,4742.1,5505.6,91.76
10,998.3,5627.5,6625.8,110.43,3054.9,3653.9,60.9
11,3010.8,6267.5,9278.3,154.64,3854.3,5660.8,94.35
12,1079.4,3179.1,4258.5,70.97,1737.1,2384.8,39.75
13,1137.0,6208.8,7345.8,122.43,4877.8,5560.0,92.67
14,2400.7,4312.4,6713.2,111.89,2705.3,4145.8,69.1
15,1444.2,6565.1,8009.2,133.49,5097.5,5964.0,99.4
16,259.2,6581.8,6841.1,114.02,4320.2,4475.7,74.6
17,659.5,6704.3,7363.8,122.73,4840.9,5236.5,87.28
18,1449.1,6041.6,7490.7,124.84,3946.6,4816.0,80.27
19,1356.8,2907.3,4264.2,71.07,1446.3,2260.4,37.67
20,330.7,5909.3,6239.9,104.0,3343.9,3542.3,59.04
21,904.2,6873.6,7777.9,129.63,5577.9,6120.4,102.01
22,1854.6,5167.0,7021.6,117.03,2595.0,3707.7,61.8
23,1492.6,5366.3,6858.9,114.32,3516.6,4412.2,73.54
24,922.7,6441.6,7364.3,122.74,4195.6,4749.2,79.15
25,1891.2,5146.9,7038.1,117.3,3686.6,4821.3,80.36
26,441.9,3856.0,4297.8,71.63,2419.7,2684.8,44.75
27,1116.9,5995.9,7112.8,118.55,3647.9,4318.0,71.97
28,2663.4,6865.2,9528.7,158.81,4017.8,5615.8,93.6
29,1696.9,5979.2,7676.0,127.93,3813.4,4831.5,80.52
30,1108.7,6644.2,7753.0,129.22,4929.1,5594.3,93.24
31,2073.1,7486.6,9559.7,159.33,5784.7,7028.6,117.14
32,2747.8,4676.4,7424.2,123.74,1993.6,3642.3,60.7
33,1322.0,5656.9,6978.9,116.31,3401.9,4195.0,69.92
34,1044.5,4873.3,5917.8,98.63,2548.9,3175.6,52.93
35,1654.4,6723.0,8377.4,139.62,4559.9,5552.5,92.54
36,339.0,4425.7,4764.8,79.41,2620.7,2824.2,47.07
37,1563.5,3397.5,4961.0,82.68,1455.9,2394.1,39.9
38,779.1,7657.7,8436.7,140.61,5758.0,6225.4,103.76
39,1253.0,4022.9,5275.9,87.93,2635.2,3387.0,56.45
40,933.0,6814.7,7747.8,129.13,4699.7,5259.5,87.66
41,2113.5,3497.3,5610.7,93.51,1041.2,2309.3,38.49
42,1961.3,7552.1,9513.4,158.56,5821.9,6998.7,116.65
43,856.2,4455.1,5311.3,88.52,2856.7,3370.4,56.17
44,985.0,4562.2,5547.2,92.45,3427.5,4018.5,66.97
45,2103.5,6005.7,8109.2,135.15,2615.4,3877.5,64.62
46,1930.4,6837.0,8767.4,146.12,4567.7,5725.9,95.43
47,986.5,4693.4,5679.9,94.66,2803.3,3395.2,56.59
48,1866.2,6356.6,8222.8,137.05,4081.7,5201.4,86.69
49,845.8,6526.5,7372.3,122.87,4152.9,4660.4,77.67
50,1232.5,5719.3,6951.8,115.86,3054.1,3793.6,63.23
51,368.3,5159.3,5527.6,92.13,3070.7,3291.7,54.86
52,3091.9,4296.2,7388.1,123.14,2610.6,4465.8,74.43
53,1043.9,4364.8,5408.7,90.14,2449.6,3075.9,51.26
54,711.2,6637.9,7349.1,122.48,4945.5,5372.2,89.54
55,327.7,3939.1,4266.8,71.11,1846.7,2043.3,34.05
56,1676.4,4657.0,6333.4,105.56,2339.4,3345.2,55.75
57,2132.1,2592.6,4724.6,78.74,650.5,1929.7,32.16
58,1455.5,5865.5,7321.0,122.02,3730.7,4604.0,76.73
59,2183.9,5000.3,7184.2,119.74,3148.8,4459.1,74.32
60,531.9,6198.7,6730.6,112.18,4256.4,4575.6,76.26
61,1670.9,4793.7,6464.7,107.74,2817.5,3820.1,63.67
62,1274.0,6125.0,7399.0,123.32,3824.2,4588.6,76.48
63,2088.8,5118.1,7206.9,120.12,3346.8,4600.1,76.67
64,1336.8,6875.0,8211.8,136.86,4048.7,4850.8,80.85
65,727.5,5030.7,5758.1,95.97,2815.8,3252.3,54.21
66,2786.2,7148.3,9934.5,165.58,5249.4,6921.2,115.35
67,1574.7,4393.1,5967.8,99.46,2050.2,2995.0,49.92
68,314.6,7561.6,7876.2,131.27,5105.2,5294.0,88.23
