parcel_id,stop_id,suburb,package_type,service_class,length_cm,width_cm,height_cm,weight_kg,cube_litres,manifest_date
AP20250602000001,S00001,Sydney CBD,small_satchel,ATL,26.6,17.3,2.9,0.45,1.33,2025-06-02
AP20250602000002,S00001,Sydney CBD,medium_parcel,SIG,42.2,38.2,26.4,4.3,42.56,2025-06-02
AP20250602000003,S00001,Sydney CBD,large_parcel,ATL,61.7,44.6,39.1,11.27,107.6,2025-06-02
AP20250602000004,S00002,Sydney CBD,small_parcel,SIG,34.2,28.8,18.6,1.85,18.32,2025-06-02
AP20250602000005,S00003,Sydney CBD,medium_satchel,SIG,33.4,21.7,6.6,0.87,4.78,2025-06-02
AP20250602000006,S00003,Sydney CBD,small_parcel,ATL,31.5,27.5,16.3,1.73,14.12,2025-06-02
AP20250602000007,S00003,Sydney CBD,small_satchel,SIG,24.0,19.4,3.2,0.42,1.49,2025-06-02
AP20250602000008,S00003,Sydney CBD,small_parcel,CARD,33.1,28.0,18.0,2.22,16.68,2025-06-02
AP20250602000009,S00004,Sydney CBD,small_satchel,ATL,24.3,17.8,3.0,0.45,1.3,2025-06-02
AP20250602000010,S00005,Sydney CBD,large_parcel,SIG,55.4,45.9,32.0,9.58,81.37,2025-06-02
AP20250602000011,S00006,Sydney CBD,medium_satchel,ATL,29.5,23.4,6.5,0.77,4.49,2025-06-02
AP20250602000012,S00007,Sydney CBD,small_satchel,CARD,25.8,19.7,3.0,0.36,1.52,2025-06-02
AP20250602000013,S00007,Sydney CBD,medium_satchel,CARD,30.1,23.8,6.1,0.78,4.37,2025-06-02
AP20250602000014,S00007,Sydney CBD,medium_satchel,ATL,32.8,20.8,6.6,0.82,4.5,2025-06-02
AP20250602000015,S00007,Sydney CBD,small_parcel,CARD,32.9,28.0,17.8,1.76,16.4,2025-06-02
AP20250602000016,S00007,Sydney CBD,small_satchel,SIG,26.6,19.3,2.9,0.46,1.49,2025-06-02
AP20250602000017,S00008,Sydney CBD,small_parcel,ATL,29.8,27.5,19.1,1.71,15.65,2025-06-02
AP20250602000018,S00009,Sydney CBD,small_satchel,ATL,27.5,18.9,2.8,0.35,1.46,2025-06-02
AP20250602000019,S00010,Sydney CBD,medium_parcel,CARD,45.1,32.4,26.7,4.87,39.02,2025-06-02
AP20250602000020,S00010,Sydney CBD,medium_parcel,ATL,45.2,35.5,24.5,5.73,39.31,2025-06-02
AP20250602000021,S00010,Sydney CBD,medium_parcel,CARD,43.4,34.6,23.1,5.75,34.69,2025-06-02
AP20250602000022,S00010,Sydney CBD,small_satchel,ATL,23.9,18.4,2.9,0.36,1.28,2025-06-02
AP20250602000023,S00010,Sydney CBD,medium_satchel,SIG,33.3,20.3,6.4,0.83,4.33,2025-06-02
AP20250602000024,S00011,Sydney CBD,large_parcel,ATL,59.5,43.9,35.3,9.44,92.21,2025-06-02
AP20250602000025,S00012,Sydney CBD,medium_parcel,ATL,44.2,38.3,24.7,4.45,41.81,2025-06-02
AP20250602000026,S00013,Sydney CBD,small_satchel,SIG,24.2,18.8,3.3,0.38,1.5,2025-06-02
AP20250602000027,S00014,Sydney CBD,small_satchel,SIG,25.0,16.7,3.1,0.41,1.29,2025-06-02
AP20250602000028,S00015,Sydney CBD,small_parcel,SIG,33.2,26.5,19.5,2.26,17.16,2025-06-02
AP20250602000029,S00015,Sydney CBD,medium_satchel,ATL,32.4,24.1,5.6,0.9,4.37,2025-06-02
AP20250602000030,S00015,Sydney CBD,small_satchel,ATL,24.7,18.4,2.7,0.44,1.23,2025-06-02
AP20250602000031,S00015,Sydney CBD,small_parcel,CARD,30.9,29.1,18.6,1.84,16.72,2025-06-02
AP20250602000032,S00015,Sydney CBD,small_satchel,ATL,24.5,19.5,2.7,0.45,1.29,2025-06-02
AP20250602000033,S00015,Sydney CBD,medium_satchel,SIG,33.2,22.9,6.1,0.89,4.64,2025-06-02
AP20250602000034,S00015,Sydney CBD,large_parcel,SIG,61.8,44.8,33.2,8.51,91.92,2025-06-02
AP20250602000035,S00015,Sydney CBD,extra_large,CARD,87.9,63.5,36.4,17.7,203.17,2025-06-02
AP20250602000036,S00016,Sydney CBD,small_satchel,SIG,23.8,18.7,3.1,0.42,1.38,2025-06-02
AP20250602000037,S00016,Sydney CBD,large_parcel,SIG,58.7,43.9,31.7,11.22,81.69,2025-06-02
AP20250602000038,S00016,Sydney CBD,small_satchel,ATL,25.3,18.0,3.1,0.43,1.41,2025-06-02
AP20250602000039,S00016,Sydney CBD,small_satchel,ATL,26.9,18.2,2.8,0.42,1.37,2025-06-02
