stop_id,suburb,lat,lon,stop_type,address,zone_id,dominant_suburb
S00001,Sydney CBD,-33.862839,151.220975,apartment,"590 Macquarie St, Sydney CBD NSW",Z0017,Sydney CBD
S00002,Sydney CBD,-33.870459,151.201032,residential,"562 King St, Sydney CBD NSW",Z0660,Sydney CBD
S00003,Sydney CBD,-33.861028,151.197027,business,"42 George St, Sydney CBD NSW",Z0240,Sydney CBD
S00004,Sydney CBD,-33.850524,151.209249,residential,"342 Macquarie St, Sydney CBD NSW",Z0096,Sydney CBD
S00005,Sydney CBD,-33.87161,151.206747,business,"30 Phillip St, Sydney CBD NSW",Z0362,Sydney CBD
S00006,Sydney CBD,-33.87161,151.202502,business,"422 Castlereagh St, Sydney CBD NSW",Z0339,Sydney CBD
S00007,Sydney CBD,-33.849849,151.219746,business,"96 George St, Sydney CBD NSW",Z0386,Sydney CBD
S00008,Sydney CBD,-33.859591,151.22363,business,"172 York St, Sydney CBD NSW",Z0356,Sydney CBD
S00009,Sydney CBD,-33.874434,151.210626,apartment,"298 Bond St, Sydney CBD NSW",Z0285,Sydney CBD
S00010,Sydney CBD,-33.862289,151.231463,business,"376 Elizabeth St, Sydney CBD NSW",Z0415,Sydney CBD
S00011,Sydney CBD,-33.874361,151.192175,business,"612 Bond St, Sydney CBD NSW",Z0216,Glebe
S00012,Sydney CBD,-33.874389,151.206395,apartment,"302 Sussex St, Sydney CBD NSW",Z0401,Sydney CBD
S00013,Sydney CBD,-33.865896,151.198548,business,"282 Hunter St, Sydney CBD NSW",Z0137,Sydney CBD
S00014,Sydney CBD,-33.891759,151.181302,apartment,"138 George St, Sydney CBD NSW",Z0053,Glebe
S00015,Sydney CBD,-33.889499,151.20806,business,"520 Market St, Sydney CBD NSW",Z0318,Surry Hills
S00016,Sydney CBD,-33.875547,151.207474,apartment,"668 Bond St, Sydney CBD NSW",Z0401,Sydney CBD
S00017,Sydney CBD,-33.880954,151.232002,apartment,"18 Castlereagh St, Sydney CBD NSW",Z0693,Paddington
S00018,Sydney CBD,-33.865029,151.218762,business,"242 Clarence St, Sydney CBD NSW",Z0688,Sydney CBD
S00019,Sydney CBD,-33.879696,151.193937,business,"202 Elizabeth St, Sydney CBD NSW",Z0366,Glebe
S00020,Sydney CBD,-33.885748,151.237111,business,"298 King St, Sydney CBD NSW",Z0294,Paddington
S00021,Sydney CBD,-33.851212,151.227616,apartment,"292 Macquarie St, Sydney CBD NSW",Z0386,Sydney CBD
S00022,Sydney CBD,-33.871509,151.218031,business,"486 Market St, Sydney CBD NSW",Z0173,Darlinghurst
S00023,Sydney CBD,-33.86799,151.205903,business,"482 York St, Sydney CBD NSW",Z0413,Sydney CBD
S00024,Sydney CBD,-33.885897,151.194908,business,"674 York St, Sydney CBD NSW",Z0691,Glebe
S00025,Sydney CBD,-33.875333,151.203717,business,"86 Sussex St, Sydney CBD NSW",Z0129,Sydney CBD
S00026,Sydney CBD,-33.867469,151.225631,business,"190 Sussex St, Sydney CBD NSW",Z0464,Darlinghurst
S00027,Sydney CBD,-33.882612,151.237569,apartment,"452 Hunter St, Sydney CBD NSW",Z0170,Double Bay
S00028,Sydney CBD,-33.864292,151.232449,business,"12 Elizabeth St, Sydney CBD NSW",Z0415,Sydney CBD
S00029,Sydney CBD,-33.876008,151.201967,business,"428 Clarence St, Sydney CBD NSW",Z0129,Sydney CBD
S00030,Sydney CBD,-33.8723,151.192506,apartment,"412 King St, Sydney CBD NSW",Z0216,Glebe
S00031,Sydney CBD,-33.87602,151.211413,apartment,"134 Clarence St, Sydney CBD NSW",Z0285,Sydney CBD
